File,aid,Date,0,8,16,32,40,48,65,73,81,97,105,113,157
ET_QC_500m_2005097_aid0001,aid0001,2005-04-07 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2005105_aid0001,aid0001,2005-04-15 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2005113_aid0001,aid0001,2005-04-23 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2005121_aid0001,aid0001,2005-05-01 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2005129_aid0001,aid0001,2005-05-09 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2005137_aid0001,aid0001,2005-05-17 00:00:00+00:00,,1.0,,,,,,,,,,,
ET_QC_500m_2005145_aid0001,aid0001,2005-05-25 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2005153_aid0001,aid0001,2005-06-02 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2005161_aid0001,aid0001,2005-06-10 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2005169_aid0001,aid0001,2005-06-18 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2005177_aid0001,aid0001,2005-06-26 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2005185_aid0001,aid0001,2005-07-04 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2005193_aid0001,aid0001,2005-07-12 00:00:00+00:00,,,,1.0,,,,,,,,,
